NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
ADAMS WILLIE,Hispanic,23,M,Robbery - Murder,Hanging,8,10,1926,CA
ADAMSON ADMIRAL,Black,49,M,Robbery - Murder,Gas,9,12,1949,CA
ADANANDUS DWIGHT DWAYNE,Black,41,M,Robbery - Murder,Injection,1,10,1997,TX
ADCOCK JAMES,White,,M,Housebreaking - Burglary ,Hanging,28,5,1836,NC
ADDISON (JARRETT),Black,,M,Attempted Murder,Hanging,26,7,1861,VA
ADIN WILLIAM,White,57,M,Murder,Hanging,22,6,1876,OH
ADKINS ANDERSON,White,33,M,Murder,Electrocution,15,3,1946,KY
ADKINS JASON,White,30,M,Robbery - Murder,Electrocution,1,5,1925,OH
ADKINS JOHN,White,45,M,Murder,Hanging,26,5,1910,AR
ADKINS ORVILLE,White,25,M,Kidnapping - Murder,Hanging,21,3,1938,WV
ADKINS WASHINGTON,Black,,M,Murder,Hanging,20,7,1894,WV
ADLER DAVID,White,26,M,Robbery - Murder,Electrocution,20,2,1941,NY
AGEE TRUCK,White,,M,Murder,Hanging,4,11,1887,KY
AGNES ANGELO,unknown,,M,Murder,Gas,29,9,1939,CO
AGOSTON ALEXANDER JR,White,42,M,Robbery - Murder,Electrocution,9,1,1951,PA
AGUILAR FRANK,Hispanic,34,M,Rape - Murder,Gas,13,8,1937,CO
AGUILAR SIMON,Hispanic,,M,Theft,Shot,28,5,1831,CA
AGUIRRE FRANCISCO,Hispanic,30,M,Murder,Hanging,2,9,1938,CA
AH BEN,Asian - Pacific Is,,M,Murder,Hanging,14,3,1879,CA
AH LEE,Asian - Pacific Is,,M,Murder,Hanging,20,4,1880,OR
AH LEE,Asian - Pacific Is,,M,Murder,Hanging,15,12,1883,CA
AH YOUNG,Asian - Pacific Is,,M,Robbery - Murder,Hanging,16,8,1883,MT
AIELLO TOMASSO,White,,M,Murder,Hanging,21,4,1904,PA
AITCHINSON THOMAS,White,,M,Robbery - Murder,Hanging,14,5,1853,NY
AKE TAYLOR,Black,18,M,Rape,Hanging,22,8,1879,TX
AKERS LEE,Black,18,M,Robbery - Murder,Electrocution,13,6,1930,OH
AKERS THOMAS WAYNE,White,31,M,Robbery - Murder,Injection,1,3,2001,VA
AL-MOSAWI SAHIB,Other,53,M,Murder,Injection,6,12,2001,OK
ALARID LAUREANO,Hispanic,,M,Murder,Hanging,2,4,1897,NM
ALBANESE CHARLES,White,58,M,Murder,Injection,20,9,1995,IL
ALBANY (CARPENTER),Black,,M,Slave Revolt,Burned,12,6,1741,NY
ALBERS GUS,White,,M,Murder,Hanging,30,6,1893,LA
ALBERT (TABOR),Black,,M,Murder,Hanging,13,5,1857,KY
ALBERT ERNEST,White,34,M,Robbery - Murder,Electrocution,4,3,1960,GA
ALBERTS PAUL,Black,23,M,Robbery - Murder,Electrocution,4,1,1945,LA
ALBITRE DELFINE,Hispanic,27,M,Murder,Hanging,28,8,1908,CA
ALBRECHT CHARLES,White,33,M,Murder,Electrocution,29,9,1927,NY
ALBRO (BRANDT),Black,,M,Murder,Hanging,4,3,1820,SC
ALCALDE FLORENCIO,Hispanic,30,M,Murder,Gas,18,8,1944,CA
ALDAVA CHRISTINO,Hispanic,26,M,Murder,Hanging,14,8,1885,TX
ALDER I. J.,White,50,M,Murder,Electrocution,19,8,1932,OK
ALDERMAN JAMES,White,50,M,Murder,Hanging,17,8,1929,FL
ALDRIDGE ALFRED,Black,21,M,Murder,Electrocution,6,5,1932,DC
ALDRIDGE BENNIE,White,23,M,Rape,Electrocution,19,12,1929,TX
ALEC,Black,,M,Murder,Hanging,17,4,1852,TN
ALECK (PRICHARD),Black,,M,Murder,Hanging,27,6,1856,MS
ALEUIRIN,Native Amer.,,M,Conspiracy to Murder,Shot,11,4,1778,CA
ALEX MICHAEL,White,28,M,Robbery - Murder,Electrocution,23,2,1939,NY
ALEXANDER (COLEMAN),Black,,M,Rape,Hanging,11,7,1823,VA
ALEXANDER (FLOYD),Black,,M,Murder,Hanging,16,10,1829,VA
ALEXANDER CARUTHERS,Black,52,M,Rape - Murder,Injection,29,1,2001,TX
ALEXANDER CHARLES,Black,24,M,Rape,Gas,17,11,1944,NC
ALEXANDER EDWARD,Black,,M,Attempted Rape,Electrocution,20,9,1912,SC
ALEXANDER HARRISON,Black,,M,Rape,Hanging,9,8,1907,KY
ALEXANDER JAMES,White,,M,Murder,Hanging,11,4,1924,LA
ALEXANDER JERRY,Black,,M,Murder,Hanging,11,1,1884,LA
ALEXANDER JOHN,White,,M,Robbery,Hanging,10,9,1818,MD
ALEXANDER JOHN,Black,,M,Murder,Hanging,11,12,1885,LA
ALEXANDER JOSEPH,Black,,M,Murder,Hanging,26,2,1847,MD
ALEXANDER JULES,Black,,M,Rape,Hanging,24,8,1899,NC
ALEXANDER MATTHEW,Black,28,M,Murder,Hanging,16,4,1903,IN
ALEXANDER O. T.,Black,37,M,Murder,Electrocution,28,9,1928,TX
ALEXANDER ROBERT,Black,18,M,Rape - Robbery,Hanging,26,5,1893,AL
ALEXANDER WILL,White,24,M,Murder,Hanging,3,5,1912,FL
ALFANO JOSEPH,White,24,M,Murder,Electrocution,26,4,1923,NY
ALFORD ALBERT,Black,32,M,Rape,Electrocution,10,10,1941,GA
ALFORD AMBROSIA,Black,,M,Robbery - Murder,Electrocution,20,6,1930,AR
ALFORD E. B.,White,,M,Murder,Hanging,10,5,1912,GA
ALFORD JAMES,White,26,M,Robbery - Murder,Electrocution,8,5,1942,TX
ALFRED  (STEPHENS),Black,,M,Murder,Hanging,8,3,1861,AR
ALFRED (COLLINS),Black,14,M,Murder,Hanging,16,7,1858,AL
ALFRED (STEVENS),Black,,M,Murder,Hanging,1,3,1861,TN
ALFRED (TROTH),Black,,M,unknown,Hanging,28,10,1846,LA
